Address,Birthday,City,Email,FirstName,LastName,Phone,State,ZipCode,ACTComposite,ACTEnglish,ACTMath,ACTReading,ACTScience,Address_2,CampusSpecialty,Captured,CollegeCEEB,CollegeGPA,CollegeGradYear,CollegeName,ContactPreference,Country,Ethnicity,Gender,HighSchoolCEEB,HighSchoolGPA,HighSchoolGradYear,HighSchoolName,HighSchoolNCES,HighSchoolNicheID,IntendedDegree,MajorCIP,MajorName,PartnerID,ProspectiveType,Religion,ROTCInterest,SATComposite,SATMath,SATReading,TransferEnrollmentDate,VeteranStatus
953 S Crawford Rd,09/26/2008,Mount Pleasant,srvanhorn08@gmail.com,Seth,VanHorn,5176770911,MI,48858,,,,,,,campus,2026-07-15 04:22:20,,,,,any,United States,White,M,232680,2.41,2027,Mt. Pleasant Senior High School,262475006135,26507f59-156f-4b4f-9d2b-c5ce8d24539b,Bachelor's (4 year),13.1312,Music Teacher Education,Niche,High School Student,none,,,,,,
1020 Redmond Ave,12/01/2008,Quincy,elizabellaperez08@gmail.com,Elizabella,Perez,5092370154,WA,98848,,,,,,,both,2026-07-18 16:19:08,,,,,any,United States,Hispanic,F,480955,3.95,2027,Quincy High School,530708001055,d7c821d8-63cf-492d-8f2a-14c6dfba4a8d,Bachelor's (4 year),42.2801,Clinical Psychology,Niche,High School Student,atheist,,,,,,false
5720 S Cedar Lake Rd,05/12/2009,Sheridan,conryan27@cmhornets.org,Conner,Ryan,9893887527,MI,48884,,,,,,,campus,2026-07-13 13:28:36,,,,,any,United States,White,M,233500,3.98,2027,Central Montcalm High School,260864004412,f6dd4b2d-c970-49ce-ab2d-93a5b67524fc,Bachelor's (4 year),23.1302,Creative Writing,Niche,High School Student,agnostic,,1200.00,640,560,,
19310 Garfield,04/25/2009,Redford,willywil025@gmail.com,Aiyendae,Faulknee,3134225801,MI,48240,,,,,,,campus,2026-07-14 04:33:44,,,,,any,United States,African American,M,230922,3.5,2027,University Preparatory Science & Math High School,260095208134,6e30e1d6-c3be-41c3-a62a-36be370b3976,Bachelor's (4 year),26.0102,Biomedical Sciences and Molecular Medicine,Niche,High School Student,i-prefer-not-to-answer,,960.00,470,490,,
1115 Litchfield St,11/03/2009,Bay City,Aubreemaher5@gmail.com,Aubree,Maher,9894156524,MI,48706,,,,,,,campus,2026-07-14 05:58:24,,,,,any,United States,White,F,230208,3.8,2027,John Glenn High School,260390004081,ff864e3c-58d6-48b6-93f8-33dec73a4879,Bachelor's (4 year),01.8301,Veterinary Technician and Assistant,Niche,High School Student,i-prefer-not-to-answer,,940.00,450,490,,
7364 Fm 903,01/09/2008,Celeste,lizlovesliterature@yahoo.com,Alyssa,Brock,9032599102,TX,75423,21.00,23,17,26,18,,campus,2026-07-15 08:47:59,,,,,any,United States,White,F,441175,3.8,2027,Celeste High School,481326000828,c5b28b43-447c-42a3-8116-b17fc2a6480e,Bachelor's (4 year),13.1305,English and Speech Teacher Education,Niche,High School Student,agnostic,false,,,,,false
29978 Hyacinth Dr,09/09/2009,Southfield,alaiyapernell09@gmail.com,Alaiya,Pernell,3138886937,MI,48076,,,,,,,campus,2026-07-16 18:14:45,,,,,any,United States,African American,F,231205,2.9,2027,Southfield High School for the Arts & Technology,263231008774,5ea41373-1b2d-4ebc-a687-e1f329293aef,Bachelor's (4 year),51.38,Nursing,Niche,High School Student,i-prefer-not-to-answer,,810.00,420,390,,
27547 Sloan St,04/21/2009,Novi,villacortamarcus5@gmail.com,Marcus,Villacorta,2487198076,MI,48374,,,,,,,campus,2026-07-17 16:25:17,,,,,any,United States,Pacific Islander,M,233472,3.2,2027,South Lyon East High School,263225001837,f2c40e43-6de2-4ed4-982b-f58b7c3970e6,Bachelor's (4 year),14.1401,Environmental Engineering,Niche,High School Student,catholic,,,,,,
19991 S.Metcalf Ct,02/02/2011,Edwardsburg,arc11737@goeddies.com,Audrey,Craig,2696351504,MI,49112,,,,,,,both,2026-07-19 00:26:33,,,,,any,United States,White,F,231330,3.0,2029,Edwardsburg High School,261299005001,3f137466-d92d-49ee-8cd1-c285493abda2,Bachelor's (4 year),52,Business,Niche,High School Student,i-prefer-not-to-answer,,910.00,390,520,,
38478 San Valleluce Dr,01/21/2009,Sterling Heights,sciacchitanoi@stu.uticak12.org,Isabella,sciacchitano,5866653161,MI,48312,,,,,,,campus,2026-07-15 00:30:33,,,,,any,United States,White,F,233630,3.7,2027,Utica High School,263447007005,136afb84-35db-49c5-a665-a98ceb211ab2,Bachelor's (4 year),44.07,Social Work and Youth Services,Niche,High School Student,other-not-listed,,,,,,
